Wall time,Step,Value
1513683551.2348492,20000,3857.0
1513683872.8320055,40000,4569.0
1513684191.6270456,60000,4823.0
1513684501.5186143,80000,4984.0
1513684811.569692,100000,5336.0
1513685118.7919915,120000,5453.0
1513685409.0632436,140000,5652.0
1513685694.7577367,160000,5881.0
1513685967.3860397,180000,5940.0
1513686258.338359,200000,6247.0
1513686557.641609,220000,6042.0
1513686863.240749,240000,6025.0
1513687182.1227221,260000,6090.0
1513687498.9009652,280000,6188.0
1513687815.5948021,300000,6309.0
1513688135.9121711,320000,6374.0
1513688464.800341,340000,6383.0
1513688775.846202,360000,6385.0
1513689086.2453594,380000,6559.0
1513689404.7369628,400000,6636.0
1513689727.266798,420000,6723.0
1513690052.672035,440000,6764.0
1513690378.6303916,460000,6829.0
1513690709.8450718,480000,6845.0
1513691046.6163006,500000,6856.0
1513691386.4983122,520000,6778.0
1513691729.870572,540000,6643.0
1513692076.3926294,560000,7050.0
