Wall time,Step,Value
1513887191.9321957,20000,3803.0
1513887381.1422825,40000,4430.0
1513887574.090467,60000,4909.0
1513887772.9773593,80000,5040.0
1513887977.6872425,100000,5351.0
1513888188.9284358,120000,5586.0
1513888407.275535,140000,6029.0
1513888632.3530078,160000,6044.0
1513888864.4676516,180000,6143.0
1513889103.8830066,200000,6425.0
1513889347.639275,220000,6517.0
1513889599.2177696,240000,6090.0
1513889852.4542904,260000,6607.0
1513890107.6977632,280000,6725.0
1513890367.6133735,300000,6734.0
1513890629.5745518,320000,6553.0
1513890895.5812266,340000,6444.0
1513891164.9849691,360000,6428.0
1513891439.5602422,380000,6670.0
1513891720.8470867,400000,6816.0
1513892019.8870754,420000,6930.0
1513892322.4398534,440000,6690.0
1513892621.8571937,460000,6722.0
1513892924.1928644,480000,6721.0
1513893236.8158066,500000,6836.0
1513893555.7735572,520000,6817.0
1513893881.3248322,540000,6833.0
1513894215.938992,560000,6900.0
