Wall time,Step,Value
1513683551.2348492,20000,-19053.30078125
1513683872.8320055,40000,-12498.400390625
1513684191.6270456,60000,-11081.2998046875
1513684501.5186143,80000,-7636.60009765625
1513684811.569692,100000,-5192.2001953125
1513685118.7919915,120000,-2710.5
1513685409.0632436,140000,1214.699951171875
1513685694.7577367,160000,3974.699951171875
1513685967.3860397,180000,5385.5
1513686258.338359,200000,7248.2001953125
1513686557.641609,220000,7654.0
1513686863.240749,240000,8649.2998046875
1513687182.1227221,260000,7748.5
1513687498.9009652,280000,9313.0
1513687815.5948021,300000,9656.0
1513688135.9121711,320000,10321.2001953125
1513688464.800341,340000,10129.599609375
1513688775.846202,360000,10030.599609375
1513689086.2453594,380000,11023.099609375
1513689404.7369628,400000,11141.2001953125
1513689727.266798,420000,11154.900390625
1513690052.672035,440000,11354.5
1513690378.6303916,460000,12225.400390625
1513690709.8450718,480000,11862.2998046875
1513691046.6163006,500000,11464.2001953125
1513691386.4983122,520000,11526.2998046875
1513691729.870572,540000,11765.900390625
1513692076.3926294,560000,12376.0
