Wall time,Step,Value
1513887191.9321957,20000,506.5
1513887381.1422825,40000,1252.699951171875
1513887574.090467,60000,1989.0999755859375
1513887772.9773593,80000,2259.699951171875
1513887977.6872425,100000,2867.39990234375
1513888188.9284358,120000,3365.10009765625
1513888407.275535,140000,3875.300048828125
1513888632.3530078,160000,4002.5
1513888864.4676516,180000,4271.39990234375
1513889103.8830066,200000,4751.7998046875
1513889347.639275,220000,4878.2998046875
1513889599.2177696,240000,4279.2998046875
1513889852.4542904,260000,5279.39990234375
1513890107.6977632,280000,5448.10009765625
1513890367.6133735,300000,5475.2001953125
1513890629.5745518,320000,5231.39990234375
1513890895.5812266,340000,5070.39990234375
1513891164.9849691,360000,5204.10009765625
1513891439.5602422,380000,5414.10009765625
1513891720.8470867,400000,5579.89990234375
1513892019.8870754,420000,5656.5
1513892322.4398534,440000,5407.5
1513892621.8571937,460000,5439.60009765625
1513892924.1928644,480000,5490.2001953125
1513893236.8158066,500000,5600.0
1513893555.7735572,520000,5417.0
1513893881.3248322,540000,5413.7998046875
1513894215.938992,560000,5484.39990234375
