Wall time,Step,Value
1513786494.5284908,20000,5574.0
1513786859.7806041,40000,6534.0
1513787235.0546343,60000,7054.0
1513787616.2678626,80000,7145.0
1513787992.2130728,100000,7549.0
1513788373.0182934,120000,7565.0
1513788757.7637484,140000,7503.0
1513789148.6077049,160000,7603.0
1513789546.3677454,180000,7538.0
1513789950.782464,200000,7876.0
1513790361.636015,220000,7655.0
1513790779.218475,240000,7680.0
1513791201.6230505,260000,7711.0
1513791627.628453,280000,7630.0
1513792059.9301069,300000,7724.0
1513792496.058993,320000,7747.0
1513792936.403104,340000,7799.0
1513793382.013933,360000,7566.0
1513793832.6996367,380000,7930.0
1513794290.5498686,400000,7817.0
1513794753.4527216,420000,7411.0
1513795222.456029,440000,7876.0
1513795695.155598,460000,7739.0
1513796174.4118643,480000,7594.0
1513796662.2410011,500000,7849.0
1513797160.5237997,520000,7668.0
1513797657.7764976,540000,7692.0
1513798174.2640715,560000,7612.0
1513798721.2247598,580000,7600.0
1513799276.0738676,600000,7812.0
1513799834.1839132,620000,7677.0
1513800399.5061939,640000,7743.0
1513800976.5506923,660000,7962.0
1513801553.2621021,680000,7622.0
1513802135.0354621,700000,7749.0
1513802719.349486,720000,7554.0
1513803328.0317862,740000,7760.0
1513803958.512632,760000,7432.0
1513804591.2772908,780000,7418.0
1513805221.5329149,800000,7511.0
