Wall time,Step,Value
1513786494.5284908,20000,2527.89990234375
1513786859.7806041,40000,4324.10009765625
1513787235.0546343,60000,5260.2001953125
1513787616.2678626,80000,5751.0
1513787992.2130728,100000,6358.2998046875
1513788373.0182934,120000,6506.7001953125
1513788757.7637484,140000,6463.5
1513789148.6077049,160000,6629.7001953125
1513789546.3677454,180000,6643.2998046875
1513789950.782464,200000,6988.7001953125
1513790361.636015,220000,6795.5
1513790779.218475,240000,6863.10009765625
1513791201.6230505,260000,6880.2998046875
1513791627.628453,280000,6844.2001953125
1513792059.9301069,300000,6895.2001953125
1513792496.058993,320000,6961.7001953125
1513792936.403104,340000,7011.7001953125
1513793382.013933,360000,6764.89990234375
1513793832.6996367,380000,7109.10009765625
1513794290.5498686,400000,7032.2001953125
1513794753.4527216,420000,6604.5
1513795222.456029,440000,7087.5
1513795695.155598,460000,6954.39990234375
1513796174.4118643,480000,6789.60009765625
1513796662.2410011,500000,7028.7998046875
1513797160.5237997,520000,6855.89990234375
1513797657.7764976,540000,6909.7001953125
1513798174.2640715,560000,6783.0
1513798721.2247598,580000,6779.7001953125
1513799276.0738676,600000,6949.7001953125
1513799834.1839132,620000,6861.39990234375
1513800399.5061939,640000,6873.0
1513800976.5506923,660000,7130.5
1513801553.2621021,680000,6784.39990234375
1513802135.0354621,700000,6932.39990234375
1513802719.349486,720000,6690.2001953125
1513803328.0317862,740000,6908.0
1513803958.512632,760000,6615.10009765625
1513804591.2772908,780000,6561.0
1513805221.5329149,800000,6711.5
